scaffold,start,end,mid,sites,pi_Hls1,pi_Hls2,dxy_Hls1_Hls2,Fst_Hls1_Hls2
scaffold_1,9355934,9395388,9379992,25000,0.00091,0.001188,0.00408,0.603259
scaffold_1,9395389,9423163,9408506,25000,0.001975,0.00211,0.011565,0.710466
scaffold_1,9423164,9462626,9445571,25000,0.000726,0.000883,0.011957,0.878908
scaffold_1,9462627,9488758,9475850,25000,0.00055,0.000534,0.012216,0.918939
scaffold_1,9488759,9528341,9512126,25000,0.001244,0.00119,0.012834,0.835846
scaffold_1,9528342,9556402,9543137,25000,0.001064,0.001048,0.005343,0.681169
scaffold_1,9556403,9584805,9570037,25000,0.000724,0.000744,0.011138,0.883959
scaffold_1,9584806,9611854,9598164,25000,0.000804,0.000633,0.007334,0.828359
scaffold_1,9611855,9645010,9632078,25000,0.000731,0.000971,0.007509,0.80292
scaffold_1,9645011,9705091,9676573,25000,0.000372,0.000394,0.007693,0.908926
scaffold_1,9705092,9734123,9718503,25000,0.001663,0.001677,0.008334,0.677446
scaffold_1,9734124,9761830,9748825,25000,0.000767,0.000652,0.011403,0.887299
scaffold_1,9761831,9795633,9780579,25000,0.000561,0.000682,0.011729,0.903169
scaffold_1,9795634,9833858,9816483,25000,0.001123,0.001296,0.009237,0.777489
scaffold_1,9833859,9859976,9846811,25000,0.001246,0.0012,0.010282,0.795845
scaffold_1,9859977,9895049,9873585,25000,0.001527,0.001604,0.013377,0.797688
